Date,Open,High,Low,Close,Volume,Adj Close
02/06/2006,16.5000,16.5000,16.4000,16.4167,36600.0000,15.5224
02/07/2006,16.4700,16.5200,16.3667,16.3667,16500.0000,15.4751
02/08/2006,16.3400,16.3600,16.2667,16.3600,1500.0000,15.4688
02/09/2006,16.5500,16.7233,16.5133,16.5133,36300.0000,15.6138
02/10/2006,16.4000,16.5600,16.3300,16.5600,16200.0000,15.6579
02/13/2006,16.4100,16.4100,16.3167,16.3267,118800.0000,15.4373
02/14/2006,16.4600,16.4800,16.4600,16.4800,600.0000,15.5823
02/15/2006,16.6467,16.9900,16.6467,16.9033,19800.0000,15.9826
02/16/2006,17.1233,17.2000,17.0967,17.2000,3600.0000,16.2631
02/17/2006,17.2500,17.2567,17.2067,17.2300,76500.0000,16.2914
02/21/2006,17.2333,17.2333,16.9267,16.9567,219300.0000,16.0330
02/22/2006,17.1367,17.3200,17.1267,17.3200,7200.0000,16.3765
02/23/2006,17.2500,17.3900,17.2500,17.3633,63600.0000,16.4175
02/24/2006,17.4167,17.6933,17.4100,17.6933,172800.0000,16.7295
02/27/2006,18.0000,18.1433,17.8900,18.1167,104400.0000,17.1298
02/28/2006,18.0000,18.0000,17.7000,17.7167,13200.0000,16.7516
03/01/2006,17.8733,17.9633,17.6600,17.9400,54900.0000,16.9628
03/02/2006,17.9333,17.9367,17.7667,17.9367,64200.0000,16.9596
03/03/2006,17.9333,17.9533,17.8067,17.8567,102300.0000,16.8840
03/06/2006,17.7833,17.8367,17.6233,17.7333,215400.0000,16.7674
03/07/2006,17.4967,17.5500,17.3533,17.3833,428100.0000,16.4364
03/08/2006,17.3667,17.7067,17.2233,17.6733,839400.0000,16.7106
03/09/2006,17.6033,17.6033,17.4067,17.4200,14100.0000,16.4711
03/10/2006,17.3067,17.5633,17.3067,17.3733,26100.0000,16.4270
03/13/2006,17.5333,17.5900,17.3333,17.3333,50100.0000,16.3891
03/14/2006,17.3667,17.3667,17.2500,17.3167,170700.0000,16.3734
03/15/2006,17.3867,17.4267,17.3667,17.4267,4500.0000,16.4774
03/16/2006,17.6333,17.6367,17.4000,17.4000,43500.0000,16.4522
03/17/2006,17.3167,17.3667,17.3000,17.3567,9600.0000,16.4112
03/20/2006,17.2733,17.4200,17.2267,17.2900,8100.0000,16.3482
03/21/2006,17.1467,17.2600,16.9367,16.9733,134700.0000,16.0488
03/22/2006,16.7667,16.9800,16.5967,16.9733,13200.0000,16.0488
03/23/2006,17.0333,17.0333,16.8100,16.9067,101400.0000,15.9857
03/24/2006,16.7967,16.7967,16.6667,16.7333,300000.0000,15.8218
03/27/2006,16.7200,16.7200,16.6500,16.6767,139200.0000,15.7683
