ticker,fund_group,condition,n,up_n,down_n,p_up,p_down,avg_up,avg_down,expected,decision,predicted_return
BITIX,long,IWM_big_down,201,77,122,0.38308457711442784,0.6069651741293532,2.3313004755741216,-2.7959285545511396,-0.8039460051543869,predict_down,-2.7959285545511396
BKPIX,long,FXY_big_up,246,146,100,0.5934959349593496,0.4065040650406504,3.4535292621953957,-3.1290184335731794,0.7776968655415036,predict_up,3.4535292621953957
BKPSX,inverse,FXY_big_up,246,146,100,0.5934959349593496,0.4065040650406504,3.4481246175926255,-3.1411186666823925,0.7695704369930244,predict_up,3.4481246175926255
UOPIX,ultra_long,FXY_big_up,246,145,97,0.5894308943089431,0.3943089430894309,3.169390918921959,-2.817951734785143,0.7569933535346557,predict_up,3.169390918921959
USPSX,inverse,FXY_big_up,246,95,145,0.3861788617886179,0.5894308943089431,2.8634218878442232,-3.1592254459923774,-0.7563520744865591,predict_down,-3.1592254459923774
UOPSX,inverse,FXY_big_up,246,145,96,0.5894308943089431,0.3902439024390244,3.1656561093704774,-2.846683138623599,0.7550347745969662,predict_up,3.1656561093704774
USPIX,ultra_long,FXY_big_up,246,94,145,0.3821138211382114,0.5894308943089431,2.888192625105512,-3.1515732756070696,-0.7540163341589718,predict_down,-3.1515732756070696
UHPSX,inverse,FXY_big_up,229,95,132,0.4148471615720524,0.5764192139737991,4.451349730186376,-4.458232421229378,-0.7231810272252066,predict_down,-4.458232421229378
UHPIX,ultra_long,FXY_big_up,229,96,131,0.4192139737991266,0.5720524017467249,4.407045473111954,-4.484708172475985,-0.7179930357013382,predict_down,-4.484708172475985
UGPIX,ultra_long,FXY_big_up,229,131,97,0.5720524017467249,0.42358078602620086,4.4570695219726915,-4.362873568527909,0.7016479093066184,predict_up,4.4570695219726915
UGPSX,inverse,FXY_big_up,229,131,97,0.5720524017467249,0.42358078602620086,4.451388972482113,-4.357143621044827,0.7008254329860638,predict_up,4.451388972482113
REPIX,long,FXY_big_up,246,132,112,0.5365853658536586,0.45528455284552843,3.432344719241457,-2.5464766933698275,0.6823744442376088,no_trade,
UCPSX,inverse,FXY_big_up,246,95,146,0.3861788617886179,0.5934959349593496,3.3698050491987965,-3.3418809434533037,-0.6820452767085226,predict_down,-3.3418809434533037
UCPIX,ultra_long,FXY_big_up,246,96,147,0.3902439024390244,0.5975609756097561,3.3363388350337053,-3.3127571962282025,-0.6775885352939431,predict_down,-3.3127571962282025
REPSX,inverse,FXY_big_up,246,132,112,0.5365853658536586,0.45528455284552843,3.42674702889713,-2.5523311185140454,0.6767053761823094,no_trade,
FNPIX,long,FXY_big_up,246,149,95,0.6056910569105691,0.3861788617886179,2.9082187223175304,-2.8107522967568,0.6760289489163255,predict_up,2.9082187223175304
FNPSX,inverse,FXY_big_up,246,149,94,0.6056910569105691,0.3821138211382114,2.905567890968271,-2.8470376334042604,0.6719840577815933,predict_up,2.905567890968271
USPSX,inverse,XLV_big_down,899,376,508,0.41824249165739713,0.5650723025583982,3.10339968308827,-3.4435609992548923,-0.6478873267856461,predict_down,-3.4435609992548923
UAPIX,ultra_long,FXY_big_up,246,147,98,0.5975609756097561,0.3983739837398374,3.2666919574556634,-3.2744280736507427,0.6476006769439419,predict_up,3.2666919574556634
USPIX,ultra_long,XLV_big_down,899,374,509,0.41601779755283647,0.5661846496106785,3.119868155071577,-3.4332267328189046,-0.6459195962269771,predict_down,-3.4332267328189046
UAPSX,inverse,FXY_big_up,246,147,99,0.5975609756097561,0.4024390243902439,3.2619076865778447,-3.24821117300172,0.6419818040641174,predict_up,3.2619076865778447
UUPIX,ultra_long,FXY_big_up,246,139,107,0.5650406504065041,0.4349593495934959,3.8559634926423794,-3.5357937200003144,0.6408495830782809,predict_up,3.8559634926423794
UUPSX,inverse,FXY_big_up,246,139,105,0.5650406504065041,0.4268292682926829,3.851086145431706,-3.6061062715201535,0.6368285191276054,predict_up,3.851086145431706
UVPIX,ultra_long,FXY_big_up,246,102,137,0.4146341463414634,0.556910569105691,3.6894370093229747,-3.8758630094614075,-0.6287425095336149,predict_down,-3.8758630094614075
USPSX,inverse,SPY_big_down,971,418,536,0.43048403707518024,0.5520082389289392,3.2181411567386844,-3.642948814630351,-0.6255793626417075,predict_down,-3.642948814630351
USPIX,ultra_long,SPY_big_down,971,418,537,0.43048403707518024,0.553038105046344,3.2198108991400285,-3.6317293424395483,-0.6224075191035078,predict_down,-3.6317293424395483
UVPSX,inverse,FXY_big_up,246,102,135,0.4146341463414634,0.5487804878048781,3.6899867088236276,-3.9205630472531645,-0.6215340125169395,no_trade,
UOPIX,ultra_long,XLV_big_down,899,501,377,0.557285873192436,0.41935483870967744,3.452594956682305,-3.1156556189196016,0.6175171356675693,predict_up,3.452594956682305
UOPSX,inverse,XLV_big_down,899,498,375,0.5539488320355951,0.41713014460511677,3.474265189778864,-3.148998283757207,0.6110230345950185,predict_up,3.474265189778864
INPIX,long,FXY_big_up,246,144,97,0.5853658536585366,0.3943089430894309,2.6505595785192715,-2.4080444156531073,0.6020336219041615,predict_up,2.6505595785192715
UOPIX,ultra_long,SPY_big_down,983,533,425,0.5422177009155646,0.4323499491353001,3.645265056126444,-3.2077867551552055,0.5896407975324843,no_trade,
ULPIX,ultra_long,FXY_big_up,246,144,100,0.5853658536585366,0.4065040650406504,2.791861870307895,-2.574251779136336,0.5878167943524528,predict_up,2.791861870307895
INPSX,inverse,FXY_big_up,246,145,96,0.5894308943089431,0.3902439024390244,2.619796510538812,-2.4536050286371474,0.586684598694966,predict_up,2.619796510538812
ULPSX,inverse,FXY_big_up,246,144,99,0.5853658536585366,0.4024390243902439,2.7867293815228154,-2.600703304879262,0.5846317225863352,predict_up,2.7867293815228154
UOPSX,inverse,SPY_big_down,983,531,421,0.5401831129196337,0.42828077314343843,3.659831611618735,-3.25195123629734,0.5842310430197024,no_trade,
URPIX,ultra_long,FXY_big_up,246,95,143,0.3861788617886179,0.5813008130081301,2.715102672957355,-2.7975770440350622,-0.5777185502685568,predict_down,-2.7975770440350622
