ticker,fund_group,condition,horizon,selection_trades,selection_avg,selected_pre2025,holdout_trades,holdout_hit_rate,holdout_avg
UNPSX,inverse,VCLT_big_down,1,65,-0.3648,True,13,0.5385,1.8751
UOPIX,ultra_long,XLY_lt-2,1,25,-0.2299,False,29,0.6552,1.8645
UOPSX,inverse,XLY_lt-2,1,25,-0.2341,False,29,0.6552,1.8617
USPSX,inverse,XLY_lt-2,1,25,0.2387,False,29,0.6552,-1.8479
UWPIX,ultra_long,GOVZ_lt-2,1,3,0.8762,False,16,0.6875,-1.8478
UWPSX,inverse,GOVZ_lt-2,1,3,0.905,False,16,0.6875,-1.8438
USPIX,ultra_long,XLY_lt-2,1,25,0.239,False,29,0.6552,-1.8435
UOPIX,ultra_long,EDV_lt-2,2,24,0.2072,False,12,0.5833,1.8335
UOPSX,inverse,EDV_lt-2,2,24,0.2201,False,12,0.5833,1.8294
USPSX,inverse,EDV_lt-2,2,24,-0.2089,False,12,0.5833,-1.8144
USPIX,ultra_long,EDV_lt-2,2,24,-0.2046,False,12,0.5833,-1.8142
ENPIX,long,ZROZ_lt-2,1,48,-0.3652,False,17,0.7647,1.7977
SMPIX,long,EDV_lt-2,3,24,0.3139,False,12,0.75,1.7956
ENPSX,inverse,ZROZ_lt-2,1,48,-0.3678,False,17,0.7647,1.7944
SMPSX,inverse,EDV_lt-2,3,24,0.3091,False,12,0.75,1.7927
SMPIX,long,TBF_big_down,1,133,-0.1759,True,30,0.7,1.7918
SMPSX,inverse,TBF_big_down,1,133,-0.1824,True,30,0.7,1.7861
UJPIX,ultra_long,TLH_big_up,1,32,-0.4677,False,15,0.6667,1.784
ENPIX,long,EDV_lt-2,1,24,0.198,False,12,0.6667,1.779
UJPSX,inverse,TLH_big_up,1,32,-0.4701,False,15,0.6667,1.7788
UUPSX,inverse,ZROZ_lt-2,1,48,-0.1634,False,17,0.5294,1.7743
UUPIX,ultra_long,ZROZ_lt-2,1,48,-0.1642,False,17,0.5294,1.7724
ENPSX,inverse,EDV_lt-2,1,24,0.1983,False,12,0.6667,1.772
PMPIX,long,TBF_big_up,2,54,0.3771,True,10,0.5,1.7627
PMPIX,long,EDV_lt-2,3,18,0.121,False,11,0.6364,1.7599
PMPSX,inverse,TBF_big_up,2,54,0.3729,True,10,0.5,1.7588
PMPSX,inverse,EDV_lt-2,3,18,0.1194,False,11,0.6364,1.7559
UKPIX,ultra_long,TLH_big_up,1,32,0.4293,False,15,0.6,-1.7557
UDPIX,ultra_long,GOVZ_lt-2,1,3,-0.8388,False,16,0.6875,1.7493
UDPSX,inverse,GOVZ_lt-2,1,3,-0.8445,False,16,0.6875,1.7444
UWPSX,inverse,EDV_lt-2,2,24,0.1259,False,12,0.6667,-1.7385
UWPIX,ultra_long,EDV_lt-2,2,24,0.1319,False,12,0.6667,-1.7348
ENPIX,long,GOVZ_lt-2,1,5,0.6587,False,16,0.6875,1.7345
TEPIX,long,TLH_big_down,2,48,0.1072,False,16,0.8125,1.7302
ENPSX,inverse,GOVZ_lt-2,1,5,0.6593,False,16,0.6875,1.7299
TEPSX,inverse,TLH_big_down,2,48,0.1027,False,16,0.8125,1.727
UJPIX,ultra_long,EDV_lt-2,2,24,-0.1971,False,12,0.6667,1.7232
UJPSX,inverse,EDV_lt-2,2,24,-0.2509,False,12,0.6667,1.7183
UKPIX,ultra_long,SMH_lt-2,1,58,0.5694,True,28,0.6071,-1.7147
PMPIX,long,ZROZ_lt-2,1,48,0.4069,False,17,0.5294,1.7144
UVPIX,ultra_long,ZROZ_lt-2,1,48,0.1847,False,17,0.5294,-1.7143
UVPSX,inverse,ZROZ_lt-2,1,48,0.1753,False,17,0.5294,-1.7131
PMPSX,inverse,ZROZ_lt-2,1,48,0.4033,False,17,0.5294,1.7119
TEPIX,long,XLY_lt-2,1,25,-0.2136,False,29,0.6897,1.7095
TEPSX,inverse,XLY_lt-2,1,25,-0.217,False,29,0.6897,1.7042
UBPIX,ultra_long,LTPZ_big_down,1,148,0.3399,True,26,0.6538,1.6951
BIPIX,long,EDV_lt-2,1,24,0.1309,False,12,0.6667,1.6929
BIPSX,inverse,EDV_lt-2,1,24,0.1257,False,12,0.6667,1.6914
SMPIX,long,GOVZ_lt-2,2,5,0.5407,False,16,0.625,1.686
UBPSX,inverse,LTPZ_big_down,1,140,0.331,True,26,0.6538,1.6843
SMPSX,inverse,GOVZ_lt-2,2,5,0.5391,False,16,0.625,1.6832
UJPIX,ultra_long,FXA_big_down,1,12,0.6788,False,12,0.75,1.6791
UJPSX,inverse,FXA_big_down,1,12,0.6739,False,12,0.75,1.6788
UCPIX,ultra_long,ZROZ_lt-2,1,48,0.5825,False,17,0.4706,-1.6778
UCPSX,inverse,ZROZ_lt-2,1,43,0.3843,False,17,0.4706,-1.6776
UKPSX,inverse,FXA_big_down,1,12,-0.6198,False,12,0.75,-1.6766
UFPSX,inverse,LTPZ_big_down,1,148,-0.3342,True,26,0.6538,-1.6752
UFPIX,ultra_long,LTPZ_big_down,1,148,-0.3317,True,26,0.6538,-1.6719
UKPIX,ultra_long,FXA_big_down,1,12,-0.6089,False,12,0.75,-1.665
USPSX,inverse,TLH_big_down,3,9,0.1498,False,16,0.9375,-1.6546
PMPIX,long,TLH_big_up,2,28,-0.332,False,11,0.6364,1.6507
USPIX,ultra_long,TLH_big_down,3,9,0.1537,False,16,0.9375,-1.6476
UKPSX,inverse,SMH_lt-2,1,58,0.5691,True,26,0.6538,-1.6475
PMPSX,inverse,TLH_big_up,2,28,-0.3225,False,11,0.6364,1.6447
UAPIX,ultra_long,XLY_big_down,1,33,0.0723,False,42,0.7619,1.6407
UJPIX,ultra_long,SMH_lt-2,1,40,-1.0826,False,30,0.6667,1.6407
UJPSX,inverse,SMH_lt-2,1,40,-1.1438,False,30,0.6667,1.6373
PMPIX,long,PST_big_up,1,89,0.22,True,24,0.625,1.627
UJPIX,ultra_long,FXA_big_down,2,12,-0.0274,False,12,0.8333,1.627
UCPIX,ultra_long,XLY_big_down,1,51,-0.0874,False,42,0.7619,-1.6249
UJPSX,inverse,FXA_big_down,2,12,-0.0314,False,12,0.8333,1.6245
PMPSX,inverse,PST_big_up,1,89,0.2164,True,24,0.625,1.6227
UAPIX,ultra_long,ZROZ_lt-2,1,48,-0.5615,False,17,0.4706,1.6166
ULPIX,ultra_long,EDV_lt-2,2,24,0.1014,False,12,0.5833,1.6115
UAPSX,inverse,ZROZ_lt-2,1,48,-0.5664,False,17,0.4706,1.6102
UDPIX,ultra_long,EDV_lt-2,2,24,-0.1047,False,12,0.6667,1.6096
ULPSX,inverse,EDV_lt-2,2,24,0.1243,False,12,0.5833,1.6071
UDPSX,inverse,EDV_lt-2,2,24,-0.1086,False,12,0.6667,1.6049
UAPSX,inverse,XLY_big_down,1,15,-0.3264,False,38,0.7632,1.5868
SMPIX,long,EDV_gt2,1,12,-0.6357,False,12,0.6667,1.5848
UCPIX,ultra_long,TLH_big_down,2,48,0.1974,False,16,0.6875,-1.5809
UCPSX,inverse,TLH_big_down,2,48,0.1872,False,16,0.6875,-1.5795
UHPIX,ultra_long,EDV_gt2,1,12,0.3343,False,12,0.6667,-1.579
SMPSX,inverse,EDV_gt2,1,12,-0.6376,False,12,0.6667,1.5746
SMPIX,long,XLY_big_down,1,228,0.3064,True,73,0.6438,1.5734
UHPIX,ultra_long,TLH_big_up,2,32,0.4612,False,15,0.8,-1.5712
SMPSX,inverse,XLY_big_down,1,228,0.3054,True,73,0.6438,1.5702
URPIX,ultra_long,EDV_lt-2,2,24,-0.2177,False,12,0.5833,-1.5689
UKPSX,inverse,TLH_big_up,1,32,0.4862,False,12,0.5833,-1.5681
ULPIX,ultra_long,TLH_big_down,2,48,0.0107,False,16,0.6875,1.5676
ULPSX,inverse,TLH_big_down,2,48,0.0197,False,16,0.6875,1.5637
UGPSX,inverse,TLH_big_up,2,32,-0.5293,False,15,0.8,1.5614
URPSX,inverse,EDV_lt-2,2,24,-0.2222,False,12,0.5833,-1.5601
UCPSX,inverse,XLY_big_down,1,37,-0.1668,False,45,0.7556,-1.5601
UGPIX,ultra_long,TLH_big_up,2,32,-0.5414,False,15,0.8,1.5587
UKPSX,inverse,LTPZ_big_up,1,110,-0.0768,False,25,0.64,-1.5562
OEPIX,long,VCLT_big_down,2,39,-0.0941,False,13,0.6923,1.5539
UCPIX,ultra_long,TBT_gt2,1,38,-0.9155,False,15,0.4667,-1.5533
OEPSX,inverse,VCLT_big_down,2,39,-0.0971,False,13,0.6923,1.5508
UKPIX,ultra_long,LTPZ_big_up,1,110,-0.0897,False,25,0.64,-1.5469
ULPIX,ultra_long,VCLT_big_down,2,65,0.0218,False,13,0.6923,1.5453
ULPSX,inverse,VCLT_big_down,2,65,0.0066,False,13,0.6923,1.542
UOPIX,ultra_long,EUO_big_up,1,181,-0.008,False,39,0.6154,1.5399
UOPIX,ultra_long,EDV_lt-2,3,18,0.1297,False,12,0.75,1.5394
UHPSX,inverse,EDV_gt2,1,12,0.341,False,12,0.6667,-1.538
UOPSX,inverse,EDV_lt-2,3,18,0.1428,False,12,0.75,1.5367
UOPSX,inverse,EUO_big_up,1,181,-0.0126,False,39,0.6154,1.5361
SMPIX,long,SPTL_big_down,2,140,0.1978,False,21,0.6667,1.536
USPSX,inverse,EDV_lt-2,3,23,-0.2472,False,12,0.75,-1.5326
URPIX,ultra_long,TLH_big_down,2,48,-0.0532,False,16,0.6875,-1.5326
UGPIX,ultra_long,EDV_gt2,1,12,-0.3237,False,12,0.6667,1.5322
USPIX,ultra_long,EDV_lt-2,3,23,-0.2422,False,12,0.75,-1.5321
SMPSX,inverse,SPTL_big_down,2,140,0.1969,False,21,0.6667,1.5315
UHPSX,inverse,TLH_big_up,2,32,0.4588,False,15,0.8,-1.531
URPSX,inverse,TLH_big_down,2,48,-0.0588,False,16,0.6875,-1.5263
UOPIX,ultra_long,TLH_big_down,3,8,0.4369,False,14,0.9286,1.5249
UAPIX,ultra_long,TLH_big_down,2,48,-0.1792,False,16,0.6875,1.5232
USPSX,inverse,EUO_big_up,1,181,-0.0072,False,39,0.6154,-1.5226
UOPSX,inverse,TLH_big_down,3,8,0.4316,False,14,0.9286,1.5221
UGPSX,inverse,EDV_gt2,1,12,-0.327,False,12,0.6667,1.5206
UAPSX,inverse,TLH_big_down,2,48,-0.1834,False,16,0.6875,1.5204
URPIX,ultra_long,VCLT_big_down,2,65,-0.1239,False,13,0.6923,-1.519
USPIX,ultra_long,EUO_big_up,1,181,-0.0044,False,39,0.6154,-1.5185
UVPIX,ultra_long,LTPZ_big_up,1,110,-0.1137,False,25,0.72,-1.5117
UHPSX,inverse,GOVZ_lt-2,2,5,0.2261,False,16,0.5,-1.5101
UUPIX,ultra_long,LTPZ_big_up,1,110,0.0439,False,25,0.72,1.5094
UUPSX,inverse,LTPZ_big_up,1,110,0.0462,False,25,0.72,1.5079
TEPIX,long,EDV_lt-2,2,24,0.1601,False,12,0.5833,1.5071
UVPSX,inverse,LTPZ_big_up,1,110,-0.1004,False,25,0.72,-1.5066
TEPSX,inverse,EDV_lt-2,2,24,0.1589,False,12,0.5833,1.5052
URPSX,inverse,VCLT_big_down,2,65,-0.127,False,13,0.6923,-1.5041
CYPIX,long,TLH_big_down,2,48,0.0995,False,16,0.75,1.5004
SMPIX,long,PST_big_down,1,87,0.4531,True,29,0.6552,1.4983
CYPSX,inverse,TLH_big_down,2,48,0.096,False,16,0.75,1.4975
SMPSX,inverse,PST_big_down,1,87,0.4511,True,29,0.6552,1.4927
UKPSX,inverse,FXA_big_down,2,12,0.0777,False,12,0.75,-1.4864
TEPIX,long,TLH_big_up,1,32,-0.2217,False,15,0.8667,1.4842
TEPSX,inverse,TLH_big_up,1,32,-0.2185,False,15,0.8667,1.4831
ENPIX,long,TLH_big_down,1,48,-0.1725,False,16,0.6875,1.4818
UHPIX,ultra_long,GOVZ_lt-2,2,5,0.2298,False,16,0.5,-1.4815
UWPSX,inverse,TLH_big_down,2,48,0.1746,False,16,0.6875,-1.4801
UKPIX,ultra_long,FXA_big_down,2,12,0.0739,False,12,0.75,-1.479
UWPIX,ultra_long,TLH_big_down,2,48,0.1801,False,16,0.6875,-1.4771
ENPSX,inverse,TLH_big_down,1,48,-0.1751,False,16,0.6875,1.4755
OEPIX,long,TLH_big_down,2,42,-0.0436,False,14,0.7143,1.4713
UJPIX,ultra_long,XLY_lt-2,2,25,-0.1809,False,29,0.7241,1.4696
OEPSX,inverse,TLH_big_down,2,42,-0.0467,False,14,0.7143,1.4683
