ticker,fund_group,source,condition,horizon,full_history_avg,pass
SGPSX,inverse,sparse_outputs_full_history,IWM_down,1,0.0626,False
SGPSX,inverse,sparse_outputs_full_history,IWM_big_down,1,-0.0371,False
SHPIX,long,main,FXY_bin_1_2,1,-0.2301,True
SHPIX,long,main,EEM_bin_lt-2,1,-0.2079,True
SHPSX,inverse,main,FXY_bin_1_2,1,-0.232,True
SHPSX,inverse,main,EEM_bin_lt-2,1,-0.2126,True
SLPIX,long,sparse_outputs_full_history,IWM_big_down,1,0.1729,False
SLPIX,long,sparse_outputs_full_history,IWM_down_SPY_down,1,0.1071,False
SLPIX,long,sparse_outputs_full_history,IWM_down,1,0.0901,False
SLPSX,inverse,sparse_outputs_full_history,IWM_big_down,1,0.1674,False
SLPSX,inverse,sparse_outputs_full_history,IWM_down_SPY_down,1,0.1033,False
SLPSX,inverse,sparse_outputs_full_history,IWM_down,1,0.0886,False
SMPIX,long,sparse_outputs_full_history,XLK_bin_gt2,1,0.1691,False
SMPSX,inverse,sparse_outputs_full_history,XLK_bin_gt2,1,0.0963,False
SNPIX,long,main,GLD_bin_lt-2,1,-0.3062,True
SNPIX,long,sparse_outputs_full_history,TLT_big_down,1,-0.094,False
SNPSX,inverse,sparse_outputs_full_history,XLU_bin_lt-2,1,-0.677,True
SNPSX,inverse,main,GLD_bin_lt-2,1,-0.2849,True
SNPSX,inverse,sparse_outputs_full_history,TLT_big_down,1,-0.1123,False
SOPIX,long,main,FXY_big_up,1,-0.3829,True
SOPIX,long,main,FXY_bin_1_2,1,-0.3471,True
SOPIX,long,main,IWM_bin_lt-2,1,-0.2961,True
SOPSX,inverse,main,FXY_big_up,1,-0.3721,True
SOPSX,inverse,main,FXY_bin_1_2,1,-0.3477,True
SPPIX,long,sparse_outputs_full_history,UUP_up_SPY_down,1,-0.0876,False
SPPSX,inverse,sparse_outputs_full_history,UUP_up_SPY_down,1,-0.083,False
SRPIX,long,sparse_outputs_external_full_history,ext_vix_chg_le-5,1,1.2241,True
SRPIX,long,sparse_outputs_external_full_history,ext_vix_chg_ge5,1,-1.0769,True
SRPIX,long,sparse_outputs_external_full_history,ext_vix5d_le-10,1,0.5548,True
SRPIX,long,sparse_outputs_external_full_history,ext_vix5d_ge10,1,-0.534,True
SRPSX,inverse,sparse_outputs_self_full_history,self_3up,1,-0.1192,False
SVPIX,long,main,EEM_bin_lt-2,1,0.2047,True
SVPSX,inverse,main,EEM_bin_lt-2,1,0.201,True
TEPIX,long,sparse_outputs_full_history,XLK_bin_lt-2,1,0.5294,True
TEPIX,long,main,FXY_big_up,1,0.4299,True
TEPIX,long,sparse_outputs_full_history,XLK_down_SPY_down,1,0.3217,True
TEPSX,inverse,main,TLT_big_up,1,0.2035,True
UAPIX,ultra_long,main,FXY_bin_1_2,1,0.4474,True
UAPIX,ultra_long,main,FXY_big_up,1,0.393,True
UAPIX,ultra_long,main,SPY_bin_-1_-0.5,1,0.3762,True
UAPIX,ultra_long,main,EEM_bin_lt-2,1,0.3737,True
UAPIX,ultra_long,main,TLT_big_up,1,0.3592,True
UAPIX,ultra_long,main,XLF_bin_-2_-1,1,0.3069,True
UAPIX,ultra_long,main,EEM_big_down,1,0.288,True
UAPIX,ultra_long,main,XLU_bin_-0.5_0,1,0.2372,True
UAPIX,ultra_long,main,TLT_bin_1_2,1,0.2265,True
UAPIX,ultra_long,main,XLV_bin_-2_-1,1,0.2221,True
UAPSX,inverse,main,FXY_bin_1_2,1,0.4416,True
UAPSX,inverse,main,FXY_big_up,1,0.3869,True
UAPSX,inverse,main,SPY_bin_-1_-0.5,1,0.3725,True
UAPSX,inverse,main,EEM_bin_lt-2,1,0.3708,True
UAPSX,inverse,main,TLT_big_up,1,0.3561,True
UAPSX,inverse,main,XLF_bin_-2_-1,1,0.302,True
UAPSX,inverse,main,EEM_big_down,1,0.2833,True
UAPSX,inverse,main,XLU_bin_-0.5_0,1,0.2337,True
UAPSX,inverse,main,XLV_bin_-2_-1,1,0.2332,True
UAPSX,inverse,main,TLT_bin_1_2,1,0.2245,True
UBPIX,ultra_long,sparse_outputs_multi_day_full_history,EEM_bin_lt-2,5,0.3466,True
UBPSX,inverse,sparse_outputs_multi_day_full_history,EEM_bin_lt-2,5,0.2979,True
UCPIX,ultra_long,main,XLU_bin_lt-2,1,-0.951,True
UCPIX,ultra_long,main,FXY_bin_1_2,1,-0.4586,True
UCPIX,ultra_long,main,XLF_bin_-2_-1,1,-0.4255,True
UCPIX,ultra_long,main,FXY_big_up,1,-0.4075,True
UCPIX,ultra_long,main,SPY_bin_-1_-0.5,1,-0.381,True
UCPIX,ultra_long,main,XLV_bin_-2_-1,1,-0.3501,True
UCPIX,ultra_long,main,XLV_big_down,1,-0.3478,True
UCPIX,ultra_long,main,XLK_bin_-1_-0.5,1,-0.2143,True
UCPSX,inverse,main,FXY_bin_1_2,1,-0.4581,True
UCPSX,inverse,main,XLF_bin_-2_-1,1,-0.4112,True
UCPSX,inverse,main,FXY_big_up,1,-0.4099,True
UCPSX,inverse,main,SPY_bin_-1_-0.5,1,-0.3866,True
UCPSX,inverse,main,XLE_bin_lt-2,1,-0.3659,True
UCPSX,inverse,main,XLV_bin_-2_-1,1,-0.3554,True
