ETF,Fund,N,Same,Lead1,DirAgree
FXE,OEPIX,2509,0.0836,-0.0252,0.4801
FXE,OEPSX,2509,0.0833,-0.0244,0.4789
FXE,OTPIX,2509,0.1316,0.0192,0.502
FXE,OTPSX,2509,0.1314,0.019,0.4976
FXE,PHPIX,2509,0.126,0.0333,0.4928
FXE,PHPSX,2509,0.1254,0.0333,0.4916
FXE,PMPIX,2509,0.3696,-0.0069,0.4821
FXE,PMPSX,2509,0.3695,-0.0068,0.4817
FXE,RDPIX,2509,-0.9179,-0.0125,0.4773
FXE,RDPSX,2509,-0.9277,-0.0136,0.4749
FXE,REPIX,2509,0.1635,0.0328,0.4888
FXE,REPSX,2509,0.1626,0.0334,0.4896
FXE,RRPIX,2477,-0.1518,-0.0027,0.4822
FXE,RRPSX,2477,-0.1547,-0.0013,0.4818
FXE,RTPIX,2477,-0.2122,-0.0087,0.4536
FXE,RTPSX,2477,-0.2283,-0.0048,0.4511
FXE,SGPIX,2509,0.1302,0.0188,0.4948
FXE,SGPSX,2509,0.129,0.0188,0.4936
FXE,SHPIX,2509,-0.1317,-0.0226,0.4821
FXE,SHPSX,2509,-0.132,-0.0238,0.4813
FXE,SLPIX,2509,0.1431,0.0177,0.494
FXE,SLPSX,2509,0.1431,0.0175,0.494
FXE,SMPIX,2509,0.1004,0.0116,0.4948
FXE,SMPSX,2509,0.0983,0.0127,0.4904
FXE,SNPIX,2509,-0.0442,0.0135,0.4932
FXE,SNPSX,2509,-0.0441,0.0134,0.4904
FXE,SOPIX,2509,-0.1266,-0.0186,0.4721
FXE,SOPSX,2509,-0.1274,-0.0177,0.4701
FXE,SPPIX,2509,-0.3612,0.0032,0.4984
FXE,SPPSX,2509,-0.3635,0.004,0.5016
FXE,SRPIX,2509,-0.1591,-0.0353,0.4745
FXE,SRPSX,2509,-0.1605,-0.0351,0.4749
FXE,SVPIX,2509,0.1156,0.027,0.5032
FXE,SVPSX,2509,0.1141,0.0276,0.5028
FXE,TEPIX,2509,0.1166,0.0132,0.4984
FXE,TEPSX,2509,0.1156,0.0128,0.4936
FXE,UAPIX,2509,0.1478,0.0159,0.4956
FXE,UAPSX,2509,0.1476,0.0159,0.496
FXE,UBPIX,2509,0.2242,0.0079,0.4825
FXE,UBPSX,2509,0.2246,0.0086,0.4825
FXE,UCPIX,2509,-0.1432,-0.017,0.4872
FXE,UCPSX,2509,-0.1437,-0.0169,0.4876
FXE,UDPIX,2509,0.1217,0.0385,0.5
FXE,UDPSX,2509,0.1214,0.0392,0.4996
FXE,UEPIX,2509,0.319,0.0117,0.4737
FXE,UEPSX,2509,0.3227,0.0123,0.4737
FXE,UFPIX,2509,-0.2237,-0.0068,0.4976
FXE,UFPSX,2509,-0.2245,-0.0068,0.4964
FXE,UGPIX,2509,0.2121,0.0079,0.4876
FXE,UGPSX,2509,0.2119,0.0079,0.488
FXE,UHPIX,2509,-0.2089,-0.008,0.4888
FXE,UHPSX,2509,-0.2097,-0.0079,0.4852
FXE,UIPIX,2509,-0.1461,-0.0258,0.4872
FXE,UIPSX,2509,-0.1462,-0.0252,0.4856
FXE,UJPIX,2509,0.0347,0.0011,0.4976
FXE,UJPSX,2509,0.0352,0.0015,0.4964
FXE,UKPIX,2509,-0.0297,0.0012,0.4821
FXE,UKPSX,2509,-0.0316,0.0004,0.4813
FXE,ULPIX,2509,0.1416,0.029,0.5052
FXE,ULPSX,2509,0.1413,0.0291,0.5056
FXE,UMPIX,2509,0.146,0.025,0.4932
FXE,UMPSX,2509,0.1455,0.0249,0.492
FXE,UNPIX,2509,0.3827,-0.0063,0.486
FXE,UNPSX,2509,0.3828,-0.0066,0.4844
FXE,UOPIX,2509,0.1332,0.0211,0.5092
FXE,UOPSX,2509,0.1326,0.0217,0.508
FXE,URPIX,2509,-0.1393,-0.0297,0.4717
FXE,URPSX,2509,-0.1396,-0.0294,0.4721
FXE,USPIX,2509,-0.1304,-0.0187,0.4781
FXE,USPSX,2509,-0.1305,-0.0186,0.4785
FXE,UTPIX,2509,0.109,0.0242,0.4908
FXE,UTPSX,2509,0.1093,0.0243,0.492
FXE,UUPIX,2509,0.2611,0.0219,0.496
FXE,UUPSX,2509,0.261,0.022,0.4956
FXE,UVPIX,2509,-0.2581,-0.0229,0.4896
FXE,UVPSX,2509,-0.2585,-0.0223,0.4876
FXE,UWPIX,2509,-0.1194,-0.039,0.4789
FXE,UWPSX,2509,-0.1205,-0.0384,0.4793
FXE,UXPIX,2509,-0.3805,0.0063,0.4884
FXE,UXPSX,2509,-0.3821,0.0066,0.4872
FXE,WCPIX,2509,0.1107,0.0411,0.5028
FXE,WCPSX,2509,0.1104,0.0414,0.502
GDXJ,AFBIX,2483,-0.3267,0.0064,0.4766
GDXJ,AFBSX,2483,-0.1982,0.0181,0.4734
GDXJ,BIPIX,2509,0.2245,-0.002,0.5064
GDXJ,BIPSX,2509,0.2168,-0.0016,0.506
GDXJ,BITIX,1028,-0.2435,0.0132,0.4956
GDXJ,BKPIX,2509,0.0992,-0.0085,0.508
GDXJ,BKPSX,2509,0.0991,-0.0089,0.5072
GDXJ,BLPIX,2509,0.2742,0.0117,0.5108
GDXJ,BLPSX,2509,0.2731,0.0127,0.5084
GDXJ,BMPIX,2509,0.3827,0.0324,0.5016
GDXJ,BMPSX,2509,0.3825,0.0325,0.5024
GDXJ,BRPIX,2509,-0.2727,-0.0027,0.4581
GDXJ,BRPSX,2509,-0.2731,-0.0041,0.4605
GDXJ,BTCFX,1254,0.2362,-0.0178,0.5044
GDXJ,CNPIX,2509,0.2372,0.0283,0.5008
GDXJ,CNPSX,2509,0.237,0.0284,0.5024
GDXJ,CYPIX,2509,0.2445,0.016,0.5076
GDXJ,CYPSX,2509,0.2441,0.0164,0.5068
GDXJ,ENPIX,2509,0.2019,-0.0127,0.4976
GDXJ,ENPSX,2509,0.2023,-0.013,0.496
GDXJ,ETHFX,356,0.2494,-0.0682,0.4648
GDXJ,FDPIX,2509,0.4136,0.0526,0.4561
GDXJ,FDPSX,2509,0.4277,0.0492,0.4557
GDXJ,FNPIX,2509,0.1846,0.0057,0.5092
GDXJ,FNPSX,2509,0.1845,0.0062,0.5076
GDXJ,FYAIX,2483,0.3214,-0.0065,0.469
GDXJ,FYASX,2483,0.3295,-0.0089,0.467
GDXJ,GVPIX,2477,0.1589,-0.0487,0.4786
GDXJ,GVPSX,2477,0.159,-0.0489,0.4782
GDXJ,HCPIX,2509,0.1969,0.0407,0.5024
GDXJ,HCPSX,2509,0.196,0.0404,0.502
GDXJ,IDPIX,2509,0.2569,0.0154,0.5116
GDXJ,IDPSX,2509,0.2573,0.0149,0.508
GDXJ,INPIX,2509,0.235,0.0061,0.5012
GDXJ,INPSX,2509,0.2322,0.0075,0.5016
GDXJ,LGPIX,2509,0.2694,-0.0023,0.5044
GDXJ,LGPSX,2509,0.2682,-0.0018,0.5036
GDXJ,LVPIX,2509,0.2415,0.0262,0.508
GDXJ,LVPSX,2509,0.2413,0.026,0.5076
GDXJ,MDPIX,2509,0.2742,0.0001,0.5044
GDXJ,MDPSX,2509,0.2729,0.0002,0.5048
GDXJ,MGPIX,2509,0.2854,0.0005,0.5124
GDXJ,MGPSX,2509,0.2784,0.0021,0.5112
GDXJ,MLPIX,2509,0.2449,-0.0001,0.5092
GDXJ,MLPSX,2509,0.2438,-0.0004,0.5076
GDXJ,MPIXX,2509,,,0.0
GDXJ,MPSXX,2509,,,0.0
GDXJ,OEPIX,2509,0.2371,-0.0278,0.4888
GDXJ,OEPSX,2509,0.237,-0.0277,0.4884
GDXJ,OTPIX,2509,0.2631,-0.0123,0.5004
GDXJ,OTPSX,2509,0.2632,-0.0124,0.4984
GDXJ,PHPIX,2509,0.2209,0.0148,0.494
GDXJ,PHPSX,2509,0.2209,0.0139,0.4932
GDXJ,PMPIX,2509,0.9399,0.0176,0.4685
GDXJ,PMPSX,2509,0.94,0.0175,0.4689
GDXJ,RDPIX,2509,-0.4168,-0.0373,0.4789
GDXJ,RDPSX,2509,-0.4207,-0.0409,0.4753
GDXJ,REPIX,2509,0.2524,0.0348,0.5096
GDXJ,REPSX,2509,0.2524,0.0345,0.5088
GDXJ,RRPIX,2477,-0.1579,0.0514,0.5057
GDXJ,RRPSX,2477,-0.1593,0.0505,0.5036
GDXJ,RTPIX,2477,-0.2068,0.0569,0.4721
GDXJ,RTPSX,2477,-0.2186,0.0517,0.4725
GDXJ,SGPIX,2509,0.26,-0.008,0.5096
GDXJ,SGPSX,2509,0.2586,-0.007,0.5092
GDXJ,SHPIX,2509,-0.2763,0.0167,0.4709
GDXJ,SHPSX,2509,-0.276,0.0167,0.4697
GDXJ,SLPIX,2509,0.2864,-0.0177,0.5068
GDXJ,SLPSX,2509,0.2868,-0.018,0.508
GDXJ,SMPIX,2509,0.2342,-0.0289,0.5
GDXJ,SMPSX,2509,0.2306,-0.0277,0.4948
GDXJ,SNPIX,2509,-0.203,0.0176,0.4876
GDXJ,SNPSX,2509,-0.202,0.0161,0.4864
GDXJ,SOPIX,2509,-0.2607,0.016,0.4737
GDXJ,SOPSX,2509,-0.2616,0.0167,0.4717
GDXJ,SPPIX,2509,-0.926,-0.0135,0.5152
GDXJ,SPPSX,2509,-0.9298,-0.0145,0.5167
GDXJ,SRPIX,2509,-0.2521,-0.0303,0.4577
GDXJ,SRPSX,2509,-0.2525,-0.0323,0.4561
GDXJ,SVPIX,2509,0.2305,-0.0111,0.5072
GDXJ,SVPSX,2509,0.2292,-0.0106,0.5052
GDXJ,TEPIX,2509,0.2534,-0.0212,0.5032
GDXJ,TEPSX,2509,0.2528,-0.0212,0.4992
GDXJ,UAPIX,2509,0.2863,-0.013,0.5092
GDXJ,UAPSX,2509,0.2864,-0.0133,0.5092
GDXJ,UBPIX,2509,0.3548,-0.0034,0.5012
GDXJ,UBPSX,2509,0.3554,-0.0031,0.5016
GDXJ,UCPIX,2509,-0.2891,0.0206,0.4777
GDXJ,UCPSX,2509,-0.2893,0.0192,0.4761
GDXJ,UDPIX,2509,0.2457,0.0194,0.5195
GDXJ,UDPSX,2509,0.2454,0.0193,0.5183
GDXJ,UEPIX,2509,0.3671,0.0072,0.4777
GDXJ,UEPSX,2509,0.3714,0.0088,0.4793
GDXJ,UFPIX,2509,-0.3582,0.01,0.4821
GDXJ,UFPSX,2509,-0.3591,0.0085,0.4809
GDXJ,UGPIX,2509,0.2432,0.0116,0.4868
GDXJ,UGPSX,2509,0.2433,0.0116,0.486
GDXJ,UHPIX,2509,-0.2432,-0.0083,0.4916
GDXJ,UHPSX,2509,-0.2435,-0.0094,0.4884
GDXJ,UIPIX,2509,-0.2783,0.0052,0.4805
GDXJ,UIPSX,2509,-0.2777,0.0036,0.4761
GDXJ,UJPIX,2509,0.1929,-0.0196,0.4892
GDXJ,UJPSX,2509,0.1894,-0.0193,0.4872
GDXJ,UKPIX,2509,-0.1966,0.0227,0.4928
GDXJ,UKPSX,2509,-0.1971,0.0211,0.4936
GDXJ,ULPIX,2509,0.2709,0.0125,0.5128
GDXJ,ULPSX,2509,0.2682,0.0133,0.5124
GDXJ,UMPIX,2509,0.2792,-0.0028,0.5044
GDXJ,UMPSX,2509,0.2792,-0.0032,0.5032
GDXJ,UNPIX,2509,0.3921,0.0189,0.4829
GDXJ,UNPSX,2509,0.3921,0.0195,0.4821
GDXJ,UOPIX,2509,0.2599,-0.0089,0.5072
GDXJ,UOPSX,2509,0.2566,-0.0076,0.5076
GDXJ,URPIX,2509,-0.277,-0.008,0.4673
GDXJ,URPSX,2509,-0.2765,-0.0079,0.4685
GDXJ,USPIX,2509,-0.2639,0.0164,0.4793
GDXJ,USPSX,2509,-0.2639,0.0156,0.4805
GDXJ,UTPIX,2509,0.2785,0.059,0.4976
GDXJ,UTPSX,2509,0.279,0.0584,0.498
GDXJ,UUPIX,2509,0.3596,0.0122,0.4964
GDXJ,UUPSX,2509,0.3593,0.0119,0.4968
GDXJ,UVPIX,2509,-0.3578,-0.0079,0.4928
GDXJ,UVPSX,2509,-0.3582,-0.0088,0.4912
GDXJ,UWPIX,2509,-0.2484,-0.0142,0.4613
GDXJ,UWPSX,2509,-0.2473,-0.0155,0.4629
GDXJ,UXPIX,2509,-0.392,-0.0177,0.4936
GDXJ,UXPSX,2509,-0.3921,-0.0193,0.4936
GDXJ,WCPIX,2509,0.2163,-0.0126,0.4996
GDXJ,WCPSX,2509,0.2164,-0.0127,0.4996
GOVZ,AFBIX,1452,-0.3956,0.06,0.5052
GOVZ,AFBSX,1452,-0.3939,0.0603,0.5052
GOVZ,BIPIX,1464,0.1312,-0.0012,0.4921
GOVZ,BIPSX,1464,0.1269,-0.0012,0.4935
GOVZ,BITIX,1028,-0.001,0.0192,0.5112
GOVZ,BKPIX,1464,-0.0779,-0.0338,0.4874
GOVZ,BKPSX,1464,-0.078,-0.0334,0.4867
GOVZ,BLPIX,1464,0.0464,-0.0069,0.4853
GOVZ,BLPSX,1464,0.0463,-0.0044,0.4819
GOVZ,BMPIX,1464,0.0274,-0.0122,0.4962
GOVZ,BMPSX,1464,0.0271,-0.0112,0.4956
GOVZ,BRPIX,1464,-0.0414,0.006,0.473
GOVZ,BRPSX,1464,-0.0406,0.0067,0.4723
GOVZ,BTCFX,1254,-0.0009,0.0025,0.4669
GOVZ,CNPIX,1464,0.0865,0.0099,0.4908
GOVZ,CNPSX,1464,0.0865,0.0112,0.4915
GOVZ,CYPIX,1464,0.0998,-0.0068,0.4833
GOVZ,CYPSX,1464,0.1,-0.0067,0.4839
GOVZ,ENPIX,1464,-0.1557,-0.0442,0.4778
GOVZ,ENPSX,1464,-0.1553,-0.0441,0.4771
GOVZ,ETHFX,356,0.0818,-0.0859,0.462
GOVZ,FDPIX,1464,0.1969,0.0291,0.4586
GOVZ,FDPSX,1464,0.2024,0.0378,0.4552
GOVZ,FNPIX,1464,-0.0312,-0.0263,0.4757
GOVZ,FNPSX,1464,-0.0303,-0.0264,0.4757
GOVZ,FYAIX,1452,0.3842,-0.0402,0.4397
GOVZ,FYASX,1452,0.3886,-0.0447,0.4349
GOVZ,GVPIX,1446,0.9729,-0.0375,0.4644
GOVZ,GVPSX,1446,0.973,-0.0376,0.4637
GOVZ,HCPIX,1464,0.109,0.0104,0.499
GOVZ,HCPSX,1464,0.1089,0.0109,0.4997
GOVZ,IDPIX,1464,0.0272,-0.0171,0.4915
GOVZ,IDPSX,1464,0.0277,-0.017,0.4901
GOVZ,INPIX,1464,0.0798,-0.0069,0.4867
GOVZ,INPSX,1464,0.0791,-0.0062,0.4846
GOVZ,LGPIX,1464,0.0551,-0.0107,0.488
GOVZ,LGPSX,1464,0.056,-0.0105,0.4846
GOVZ,LVPIX,1464,0.0279,-0.0242,0.4833
GOVZ,LVPSX,1464,0.0287,-0.0242,0.4846
GOVZ,MDPIX,1464,0.0517,-0.0212,0.4744
GOVZ,MDPSX,1464,0.0517,-0.0207,0.4744
GOVZ,MGPIX,1464,0.0787,-0.0111,0.4826
GOVZ,MGPSX,1464,0.0791,-0.0101,0.4819
GOVZ,MLPIX,1464,0.0261,-0.0263,0.4792
GOVZ,MLPSX,1464,0.026,-0.0258,0.4778
GOVZ,MPIXX,1464,,,0.0
GOVZ,MPSXX,1464,,,0.0
GOVZ,OEPIX,1464,-0.1646,-0.0349,0.4874
GOVZ,OEPSX,1464,-0.1646,-0.0347,0.4874
GOVZ,OTPIX,1464,0.0708,-0.0046,0.488
GOVZ,OTPSX,1464,0.0713,-0.0047,0.4846
GOVZ,PHPIX,1464,0.1027,-0.0062,0.4812
GOVZ,PHPSX,1464,0.1029,-0.0051,0.4819
GOVZ,PMPIX,1464,0.1287,-0.0147,0.488
GOVZ,PMPSX,1464,0.1286,-0.0143,0.488
GOVZ,RDPIX,1464,-0.1772,-0.0611,0.4593
GOVZ,RDPSX,1464,-0.1808,-0.0561,0.4627
GOVZ,REPIX,1464,0.2393,-0.0049,0.4901
GOVZ,REPSX,1464,0.2387,-0.005,0.488
GOVZ,RRPIX,1446,-0.9605,0.0295,0.5066
GOVZ,RRPSX,1446,-0.9717,0.0366,0.5059
GOVZ,RTPIX,1446,-0.7843,0.0057,0.472
GOVZ,RTPSX,1446,-0.8396,0.0174,0.472
GOVZ,SGPIX,1464,0.0624,-0.0082,0.4771
GOVZ,SGPSX,1464,0.0641,-0.0071,0.4778
GOVZ,SHPIX,1464,-0.0429,0.0018,0.5003
GOVZ,SHPSX,1464,-0.0421,-0.0004,0.4997
GOVZ,SLPIX,1464,0.0572,-0.012,0.4744
GOVZ,SLPSX,1464,0.0575,-0.012,0.4751
GOVZ,SMPIX,1464,0.0321,-0.003,0.4928
GOVZ,SMPSX,1464,0.0343,-0.0042,0.4928
GOVZ,SNPIX,1464,0.1566,0.0386,0.4956
GOVZ,SNPSX,1464,0.1569,0.0401,0.4928
GOVZ,SOPIX,1464,-0.0622,-0.0051,0.4819
GOVZ,SOPSX,1464,-0.0625,-0.0038,0.4792
GOVZ,SPPIX,1464,-0.1207,0.0017,0.4833
GOVZ,SPPSX,1464,-0.1239,0.0049,0.4833
GOVZ,SRPIX,1464,-0.2322,0.0004,0.4641
GOVZ,SRPSX,1464,-0.2333,-0.0007,0.4552
GOVZ,SVPIX,1464,0.0315,-0.0189,0.471
GOVZ,SVPSX,1464,0.032,-0.019,0.4716
GOVZ,TEPIX,1464,0.0578,-0.007,0.4901
GOVZ,TEPSX,1464,0.0584,-0.0068,0.4894
GOVZ,UAPIX,1464,0.0554,-0.0117,0.4757
GOVZ,UAPSX,1464,0.0556,-0.0114,0.4757
GOVZ,UBPIX,1464,0.0308,-0.0331,0.46
GOVZ,UBPSX,1464,0.0313,-0.0336,0.4586
GOVZ,UCPIX,1464,-0.0529,0.0086,0.4997
GOVZ,UCPSX,1464,-0.0534,0.0095,0.5003
GOVZ,UDPIX,1464,0.0274,-0.0169,0.4921
GOVZ,UDPSX,1464,0.0279,-0.0164,0.4901
GOVZ,UEPIX,1464,0.0086,-0.0073,0.473
GOVZ,UEPSX,1464,0.0106,-0.0096,0.4723
GOVZ,UFPIX,1464,-0.0319,0.0293,0.5079
GOVZ,UFPSX,1464,-0.0317,0.0306,0.5065
GOVZ,UGPIX,1464,0.0332,0.0187,0.4956
GOVZ,UGPSX,1464,0.0336,0.0188,0.4921
GOVZ,UHPIX,1464,-0.0308,-0.0226,0.4737
GOVZ,UHPSX,1464,-0.0321,-0.0218,0.473
GOVZ,UIPIX,1464,-0.0486,0.0157,0.499
GOVZ,UIPSX,1464,-0.0488,0.0166,0.4997
GOVZ,UJPIX,1464,-0.0638,-0.0106,0.4798
GOVZ,UJPSX,1464,-0.0612,-0.0107,0.4785
GOVZ,UKPIX,1464,0.0696,0.0084,0.486
GOVZ,UKPSX,1464,0.0684,0.0116,0.4894
GOVZ,ULPIX,1464,0.0518,-0.0093,0.4853
GOVZ,ULPSX,1464,0.0534,-0.0076,0.4853
GOVZ,UMPIX,1464,0.0518,-0.0211,0.4744
GOVZ,UMPSX,1464,0.0521,-0.021,0.4757
GOVZ,UNPIX,1464,0.0838,0.0028,0.4833
GOVZ,UNPSX,1464,0.0843,0.0022,0.4839
GOVZ,UOPIX,1464,0.0727,-0.0015,0.4915
GOVZ,UOPSX,1464,0.0736,-0.0009,0.4901
GOVZ,URPIX,1464,-0.0476,0.0145,0.4846
GOVZ,URPSX,1464,-0.0467,0.0166,0.4867
GOVZ,USPIX,1464,-0.0669,-0.0005,0.4833
GOVZ,USPSX,1464,-0.0676,0.0007,0.4867
GOVZ,UTPIX,1464,0.1853,-0.0197,0.4723
GOVZ,UTPSX,1464,0.1853,-0.0182,0.4744
GOVZ,UUPIX,1464,0.0327,0.0157,0.4962
GOVZ,UUPSX,1464,0.0328,0.0162,0.4969
GOVZ,UVPIX,1464,-0.0305,-0.0211,0.4819
GOVZ,UVPSX,1464,-0.031,-0.0198,0.4805
GOVZ,UWPIX,1464,-0.023,0.0135,0.4792
GOVZ,UWPSX,1464,-0.0233,0.0143,0.4778
GOVZ,UXPIX,1464,-0.083,-0.006,0.488
GOVZ,UXPSX,1464,-0.0832,-0.004,0.4874
GOVZ,WCPIX,1464,0.0503,-0.0177,0.4805
GOVZ,WCPSX,1464,0.0502,-0.0175,0.4785
IAU,AFBIX,2483,-0.1973,-0.0181,0.4512
IAU,AFBSX,2483,-0.1283,-0.0006,0.448
IAU,BIPIX,2509,0.1107,0.0052,0.4912
IAU,BIPSX,2509,0.1074,0.0044,0.4904
IAU,BITIX,1028,-0.1511,-0.0129,0.52
IAU,BKPIX,2509,-0.0445,-0.0034,0.4844
IAU,BKPSX,2509,-0.0444,-0.0039,0.4841
IAU,BLPIX,2509,0.0979,0.0292,0.5
IAU,BLPSX,2509,0.0977,0.0297,0.4984
IAU,BMPIX,2509,0.1927,0.0388,0.4996
IAU,BMPSX,2509,0.1927,0.0387,0.5004
IAU,BRPIX,2509,-0.0987,-0.0181,0.4486
IAU,BRPSX,2509,-0.0984,-0.0195,0.449
IAU,BTCFX,1254,0.1157,0.0074,0.4812
IAU,CNPIX,2509,0.079,0.0527,0.502
IAU,CNPSX,2509,0.079,0.0524,0.5032
IAU,CYPIX,2509,0.0834,0.0312,0.5072
IAU,CYPSX,2509,0.0829,0.0315,0.5072
IAU,ENPIX,2509,0.062,-0.0062,0.4805
IAU,ENPSX,2509,0.0624,-0.0065,0.4805
IAU,ETHFX,356,0.156,-0.0264,0.4704
IAU,FDPIX,2509,0.4154,0.0639,0.4585
IAU,FDPSX,2509,0.4309,0.0573,0.4581
IAU,FNPIX,2509,0.0169,0.0225,0.4932
IAU,FNPSX,2509,0.0166,0.0228,0.4912
IAU,FYAIX,2483,0.1895,0.0207,0.4706
IAU,FYASX,2483,0.1938,0.0198,0.4698
IAU,GVPIX,2477,0.2259,0.0041,0.4802
IAU,GVPSX,2477,0.2263,0.0037,0.4798
IAU,HCPIX,2509,0.075,0.0515,0.4972
IAU,HCPSX,2509,0.0749,0.0511,0.496
IAU,IDPIX,2509,0.0887,0.0257,0.5004
IAU,IDPSX,2509,0.0891,0.0251,0.4964
IAU,INPIX,2509,0.0769,0.0385,0.506
IAU,INPSX,2509,0.0758,0.0391,0.5056
IAU,LGPIX,2509,0.1039,0.0191,0.5008
IAU,LGPSX,2509,0.1034,0.0189,0.4996
IAU,LVPIX,2509,0.0731,0.0329,0.498
IAU,LVPSX,2509,0.0735,0.0328,0.4976
IAU,MDPIX,2509,0.0907,0.0254,0.4952
IAU,MDPSX,2509,0.0903,0.025,0.4952
IAU,MGPIX,2509,0.1032,0.0273,0.5036
IAU,MGPSX,2509,0.0998,0.028,0.5028
IAU,MLPIX,2509,0.067,0.0244,0.4956
IAU,MLPSX,2509,0.0667,0.0236,0.4948
IAU,MPIXX,2509,,,0.0
IAU,MPSXX,2509,,,0.0
IAU,OEPIX,2509,0.0903,-0.0298,0.4733
IAU,OEPSX,2509,0.0902,-0.0295,0.4729
IAU,OTPIX,2509,0.1005,0.0146,0.5004
IAU,OTPSX,2509,0.1008,0.0141,0.4988
IAU,PHPIX,2509,0.1017,0.0147,0.4757
IAU,PHPSX,2509,0.1021,0.0134,0.4745
IAU,PMPIX,2509,0.7494,0.0109,0.4701
IAU,PMPSX,2509,0.7494,0.0108,0.4701
IAU,RDPIX,2509,-0.4225,-0.0434,0.4557
IAU,RDPSX,2509,-0.4251,-0.0497,0.4514
IAU,REPIX,2509,0.137,0.0701,0.508
IAU,REPSX,2509,0.1369,0.0699,0.5064
IAU,RRPIX,2477,-0.2252,0.0008,0.4818
IAU,RRPSX,2477,-0.2261,-0.0002,0.4806
IAU,RTPIX,2477,-0.2788,0.0094,0.4511
IAU,RTPSX,2477,-0.2923,-0.0019,0.4511
IAU,SGPIX,2509,0.0806,0.0168,0.498
IAU,SGPSX,2509,0.0797,0.0173,0.498
IAU,SHPIX,2509,-0.0919,-0.0029,0.4637
IAU,SHPSX,2509,-0.0924,-0.0014,0.4621
IAU,SLPIX,2509,0.1008,0.0063,0.4936
IAU,SLPSX,2509,0.101,0.006,0.4936
IAU,SMPIX,2509,0.087,-0.0049,0.4908
IAU,SMPSX,2509,0.086,-0.005,0.4868
IAU,SNPIX,2509,-0.0626,0.012,0.4833
IAU,SNPSX,2509,-0.0623,0.0097,0.4813
IAU,SOPIX,2509,-0.101,-0.0091,0.4545
IAU,SOPSX,2509,-0.1013,-0.009,0.4522
IAU,SPPIX,2509,-0.7379,-0.0038,0.4936
IAU,SPPSX,2509,-0.7422,-0.0054,0.4948
IAU,SRPIX,2509,-0.1369,-0.0645,0.4398
IAU,SRPSX,2509,-0.1381,-0.0678,0.4366
IAU,SVPIX,2509,0.0595,0.0065,0.4948
IAU,SVPSX,2509,0.0591,0.0065,0.4936
IAU,TEPIX,2509,0.0999,0.0044,0.5004
IAU,TEPSX,2509,0.0997,0.0042,0.4956
IAU,UAPIX,2509,0.1025,0.0076,0.4948
IAU,UAPSX,2509,0.1026,0.0071,0.4948
IAU,UBPIX,2509,0.1802,-0.0022,0.4841
IAU,UBPSX,2509,0.181,-0.0021,0.4844
IAU,UCPIX,2509,-0.1021,-0.0025,0.4709
IAU,UCPSX,2509,-0.102,-0.0055,0.4689
IAU,UDPIX,2509,0.0831,0.0355,0.5136
IAU,UDPSX,2509,0.0832,0.0351,0.512
IAU,UEPIX,2509,0.1857,0.0175,0.4797
IAU,UEPSX,2509,0.1896,0.0181,0.4797
IAU,UFPIX,2509,-0.1823,0.0106,0.4801
IAU,UFPSX,2509,-0.183,0.0084,0.4805
IAU,UGPIX,2509,0.1129,0.0309,0.4884
IAU,UGPSX,2509,0.1127,0.0309,0.4876
IAU,UHPIX,2509,-0.1132,-0.0259,0.4701
IAU,UHPSX,2509,-0.1136,-0.0286,0.4673
IAU,UIPIX,2509,-0.0919,-0.0216,0.4697
IAU,UIPSX,2509,-0.0908,-0.0238,0.4653
IAU,UJPIX,2509,0.0428,-0.0103,0.4749
IAU,UJPSX,2509,0.0422,-0.0098,0.4729
IAU,UKPIX,2509,-0.0412,0.0134,0.4841
IAU,UKPSX,2509,-0.0411,0.0117,0.4837
IAU,ULPIX,2509,0.0969,0.0278,0.5024
IAU,ULPSX,2509,0.096,0.028,0.5028
IAU,UMPIX,2509,0.0926,0.0242,0.4952
IAU,UMPSX,2509,0.0925,0.0241,0.494
IAU,UNPIX,2509,0.2262,0.0273,0.4956
IAU,UNPSX,2509,0.2264,0.0271,0.4928
IAU,UOPIX,2509,0.0994,0.016,0.5072
IAU,UOPSX,2509,0.098,0.0169,0.5068
IAU,URPIX,2509,-0.0991,-0.0262,0.4526
IAU,URPSX,2509,-0.0987,-0.0258,0.4553
IAU,USPIX,2509,-0.1013,-0.0104,0.4605
IAU,USPSX,2509,-0.101,-0.0108,0.4617
IAU,UTPIX,2509,0.1786,0.052,0.4972
IAU,UTPSX,2509,0.1789,0.0513,0.4968
IAU,UUPIX,2509,0.185,0.0291,0.4952
IAU,UUPSX,2509,0.1851,0.029,0.4956
IAU,UVPIX,2509,-0.1838,-0.0227,0.4733
IAU,UVPSX,2509,-0.1838,-0.0239,0.4709
IAU,UWPIX,2509,-0.0854,-0.0295,0.4474
IAU,UWPSX,2509,-0.0843,-0.0314,0.447
IAU,UXPIX,2509,-0.2257,-0.0246,0.4609
IAU,UXPSX,2509,-0.2253,-0.0274,0.4613
IAU,WCPIX,2509,0.0784,0.0358,0.5044
IAU,WCPSX,2509,0.0782,0.0356,0.5048
IEF,AFBIX,2483,-0.2593,-0.0359,0.4827
IEF,AFBSX,2483,-0.1622,-0.0082,0.4823
IEF,BIPIX,2509,0.0064,0.062,0.5124
IEF,BIPSX,2509,0.0071,0.0599,0.514
IEF,BITIX,1028,-0.0237,-0.0126,0.4917
IEF,BKPIX,2509,-0.2386,0.0335,0.5068
